Clear Sky Stormcaller	,	3	,	GOLD	,	500.0000	,	2014-10-10	,	1
Cloud Titan	,	3	,	GOLD	,	2200.0000	,	2014-10-10	,	1
Comet Strike	,	6	,	GOLD	,	32000.0000	,	2014-10-10	,	1
Command Tower	,	3	,	GOLD	,	475.0000	,	2014-10-10	,	2
Concubunny	,	2	,	PLATINUM	,	4.0000	,	2014-10-10	,	10
Concubunny	,	2	,	GOLD	,	628.0000	,	2014-10-10	,	2
Construction Plans: Ingenuity Engine	,	4	,	PLATINUM	,	31.0000	,	2014-10-10	,	1
Construction Plans: Ingenuity Engine	,	4	,	GOLD	,	3990.0000	,	2014-10-10	,	1
Construction Plans: War Hulk	,	2	,	GOLD	,	50.0000	,	2014-10-10	,	3
Corrupt Harvester	,	3	,	GOLD	,	2500.0000	,	2014-10-10	,	2
Corrupt Harvester	,	3	,	PLATINUM	,	25.2000	,	2014-10-10	,	5
Corrupted Afterlife	,	3	,	GOLD	,	61.0000	,	2014-10-10	,	3
Corrupted Afterlife	,	3	,	PLATINUM	,	11.0000	,	2014-10-10	,	2
Cosmic Totem	,	3	,	GOLD	,	999.0000	,	2014-10-10	,	2
Cosmic Transmogrifier	,	6	,	PLATINUM	,	77.0000	,	2014-10-10	,	1
Cottontail Ronin	,	2	,	GOLD	,	324.5000	,	2014-10-10	,	2
Cottontail Ronin	,	2	,	PLATINUM	,	4.0000	,	2014-10-10	,	1
Countermagic	,	2	,	GOLD	,	216.3333	,	2014-10-10	,	3
Countermagic	,	2	,	PLATINUM	,	4.0000	,	2014-10-10	,	1
Crash of Beasts	,	4	,	PLATINUM	,	230.0000	,	2014-10-10	,	4
Crazed Rummaging	,	3	,	GOLD	,	107.0000	,	2014-10-10	,	1
Crazed Squirrel Titan	,	3	,	GOLD	,	304.0000	,	2014-10-10	,	2
Crimson Clarity	,	2	,	GOLD	,	150.0000	,	2014-10-10	,	1
Crushing Blow	,	2	,	GOLD	,	108.5714	,	2014-10-10	,	14
Curse of Oblivion	,	4	,	PLATINUM	,	131.0000	,	2014-10-10	,	3
Dandelion Sprite	,	3	,	GOLD	,	504.0000	,	2014-10-10	,	1
Darkspire Enforcer	,	2	,	GOLD	,	71.6667	,	2014-10-10	,	6
Darkspire Priestess	,	2	,	GOLD	,	102.6429	,	2014-10-10	,	14
Demolition	,	3	,	GOLD	,	236.0000	,	2014-10-10	,	3
Determined Zombie	,	2	,	GOLD	,	35.0000	,	2014-10-10	,	1
Devoted Emissary	,	2	,	GOLD	,	50.0000	,	2014-10-10	,	1
Doppelgadget	,	4	,	PLATINUM	,	70.8000	,	2014-10-10	,	5
Doppelgadget	,	4	,	GOLD	,	10000.0000	,	2014-10-10	,	1
Dream Dance	,	4	,	PLATINUM	,	46.2000	,	2014-10-10	,	5
Dream Dance	,	4	,	GOLD	,	8112.5000	,	2014-10-10	,	2
Droo's Colossal Walker	,	4	,	GOLD	,	5000.0000	,	2014-10-10	,	1
Droo's Colossal Walker	,	4	,	PLATINUM	,	39.0000	,	2014-10-10	,	2
Dwarven Armory	,	3	,	GOLD	,	107.0000	,	2014-10-10	,	1
Dwarven Turbine	,	3	,	GOLD	,	1217.3333	,	2014-10-10	,	3
Effigy of Nulzann	,	2	,	PLATINUM	,	4.0000	,	2014-10-10	,	2
Effigy of Nulzann	,	2	,	GOLD	,	250.0000	,	2014-10-10	,	2
Eldritch Dreamer	,	4	,	PLATINUM	,	287.8000	,	2014-10-10	,	5
Elimination Specialist	,	3	,	GOLD	,	1330.0000	,	2014-10-10	,	1
Elite Battle Tech	,	3	,	GOLD	,	1667.0000	,	2014-10-10	,	3
Endbringer	,	4	,	PLATINUM	,	31.0000	,	2014-10-10	,	3
Endbringer	,	4	,	GOLD	,	1453.0000	,	2014-10-10	,	1
Eternal Guardian	,	6	,	PLATINUM	,	419.0000	,	2014-10-10	,	2
Eternal Youth	,	4	,	PLATINUM	,	114.6667	,	2014-10-10	,	3
Eurig the Robomancer	,	4	,	PLATINUM	,	69.5000	,	2014-10-10	,	2
Evolve	,	2	,	GOLD	,	60.0000	,	2014-10-10	,	2
Experimental War Hulk	,	3	,	GOLD	,	720.0000	,	2014-10-10	,	1
Extinction	,	4	,	PLATINUM	,	394.8000	,	2014-10-10	,	5
Eye of Creation	,	6	,	PLATINUM	,	645.0000	,	2014-10-10	,	3
Fang of the Mountain God	,	3	,	GOLD	,	711.0000	,	2014-10-10	,	3
Feral Ogre	,	2	,	GOLD	,	130.0000	,	2014-10-10	,	5
Fiendish Cabalist	,	3	,	GOLD	,	556.5000	,	2014-10-10	,	2
Fist of Briggadon	,	6	,	PLATINUM	,	389.0000	,	2014-10-10	,	1
Flock of Seagulls	,	3	,	PLATINUM	,	27.6000	,	2014-10-10	,	5
Frost Wizard	,	4	,	GOLD	,	4000.0000	,	2014-10-10	,	1
Frost Wizard	,	4	,	PLATINUM	,	75.0000	,	2014-10-10	,	1
Furious Taskmaster	,	3	,	GOLD	,	1732.6667	,	2014-10-10	,	3
Gas Troll	,	4	,	GOLD	,	4000.0000	,	2014-10-10	,	1
Gas Troll	,	4	,	PLATINUM	,	109.6667	,	2014-10-10	,	3
Gearsmith	,	2	,	GOLD	,	104.7500	,	2014-10-10	,	4
Giant Caterpillar	,	4	,	PLATINUM	,	31.0000	,	2014-10-10	,	3
Giant Corpse Fly	,	2	,	PLATINUM	,	3.2500	,	2014-10-10	,	4
Giant Corpse Fly	,	2	,	GOLD	,	782.5000	,	2014-10-10	,	2
Gigantify	,	4	,	GOLD	,	5000.0000	,	2014-10-10	,	1
Goblin Cooking Pot	,	3	,	GOLD	,	1750.0000	,	2014-10-10	,	4
Gore Feast of Kog'Tepetl	,	4	,	GOLD	,	9000.0000	,	2014-10-10	,	1
Gore Feast of Kog'Tepetl	,	4	,	PLATINUM	,	100.0000	,	2014-10-10	,	7
Guard Dog	,	2	,	GOLD	,	87.0000	,	2014-10-10	,	4
Headless Executioner	,	2	,	GOLD	,	51.0000	,	2014-10-10	,	1
Heat Wave	,	4	,	PLATINUM	,	182.0000	,	2014-10-10	,	5
Hero of Adamanth	,	4	,	GOLD	,	3610.0000	,	2014-10-10	,	5
Heroic Inspiration	,	3	,	PLATINUM	,	11.0000	,	2014-10-10	,	3
Heroic Inspiration	,	3	,	GOLD	,	321.0000	,	2014-10-10	,	1
Hex Engine	,	3	,	PLATINUM	,	11.0000	,	2014-10-10	,	1
